model,dim,n_ref,cos_mean,cos_std,svd_mean,svd_std,full_mean,full_std,logreg_mean,logreg_std
all-mpnet-base-v2,768,50,0.7864383611111111,0.012225245635352808,0.8174863194444444,0.012631411817761114,0.8115510416666666,0.017235074888039572,0.8631485972222223,0.00871822280448174
all-mpnet-base-v2,768,75,0.7869363194444445,0.010335843115551892,0.8205136666666667,0.010435111348213165,0.8184607361111111,0.013836517952573929,0.867709736111111,0.008265901233579467
all-mpnet-base-v2,768,100,0.7872644583333333,0.009231808732905165,0.8238739861111111,0.008843225698453906,0.826082263888889,0.013203540486343384,0.8705690694444445,0.00793908731943839
all-mpnet-base-v2,768,150,0.7873429027777777,0.008586362677039659,0.8298925138888888,0.009313641786875305,0.839555625,0.011267169029454337,0.8743751527777778,0.007703319275747063
all-mpnet-base-v2,768,200,0.7873581527777778,0.008157869959920664,0.8323387638888888,0.008859297709134475,0.8493982083333332,0.008904190444236147,0.8773208472222223,0.007569505795463314
BAAI/bge-large-en-v1.5,1024,2,0.7328581944444444,0.049620819752588224,0.7574062916666666,0.05607588814096264,,,0.7191784166666666,0.09370052329575841
BAAI/bge-large-en-v1.5,1024,3,0.7439897638888888,0.04078928137571328,0.7807165833333333,0.041773727301839585,,,0.7492555277777778,0.07321300442984711
BAAI/bge-large-en-v1.5,1024,4,0.7490258888888889,0.0350620635066644,0.7898125277777779,0.03406578814309043,,,0.7678754166666667,0.06088274424875128
BAAI/bge-large-en-v1.5,1024,5,0.7511689444444444,0.03396574226698921,0.8015769166666666,0.02837721838256494,,,0.7858699166666666,0.048106356137408164
BAAI/bge-large-en-v1.5,1024,7,0.7591657222222223,0.026781461261206594,0.8161196666666666,0.024937946121002162,,,0.8082916944444445,0.04085183274168982
BAAI/bge-large-en-v1.5,1024,10,0.7629952638888889,0.02151913889162269,0.8265377222222221,0.019280803568612045,0.8176042222222222,0.02793746958035364,0.8269838333333334,0.025142840046344872
BAAI/bge-large-en-v1.5,1024,15,0.7649744722222223,0.01881291743758129,0.83050225,0.01584870947278377,0.821957,0.02606821355914096,0.8411318055555556,0.019494481677810493
BAAI/bge-large-en-v1.5,1024,20,0.7646437222222222,0.017459849187441753,0.8275281944444444,0.017570432547306808,0.8229710833333332,0.0240384550392723,0.8486550833333334,0.01683905102931114
BAAI/bge-large-en-v1.5,1024,30,0.7658715833333334,0.014977982637565961,0.8266533888888888,0.01474733539903877,0.8255890555555555,0.01881360588721926,0.8589906388888889,0.011735618991369023
BAAI/bge-large-en-v1.5,1024,50,0.7677620694444444,0.01156326735167018,0.8239587638888889,0.013078923268761165,0.8283408333333334,0.015226001068537122,0.8669595555555556,0.009234564137343424
BAAI/bge-large-en-v1.5,1024,75,0.7680689305555556,0.010435060131135565,0.8247711805555555,0.012313356503320947,0.8334728888888888,0.013277065487893848,0.8719324722222223,0.0074063995652229484
BAAI/bge-large-en-v1.5,1024,100,0.7683582916666667,0.009856804701101729,0.8244135,0.01204819567294985,0.8404734722222222,0.011279539117039454,0.8749143055555555,0.007047088591211936
BAAI/bge-large-en-v1.5,1024,150,0.7685711527777778,0.009331309036760568,0.8274352500000001,0.011198582543396394,0.8532496111111111,0.0102578292203081,0.8787115277777778,0.00745010303556416
BAAI/bge-large-en-v1.5,1024,200,0.7685196388888889,0.00912585865013403,0.8294560833333334,0.010739678897174218,0.8626368888888889,0.008155890950054185,0.8814813055555555,0.007334909394022869
Qwen/Qwen3-Embedding-8B,4096,2,0.7877145138888889,0.030950638034930054,0.8023420416666667,0.03781203462839682,,,0.7464012083333332,0.10347184109286894
Qwen/Qwen3-Embedding-8B,4096,3,0.7916394861111111,0.027379439455232454,0.8147478194444444,0.03157248815853724,,,0.7690646527777778,0.08882690650434534
Qwen/Qwen3-Embedding-8B,4096,4,0.7925487361111111,0.023717269572076982,0.8199239305555556,0.027022608786158357,,,0.7898905694444445,0.0768438356449391
Qwen/Qwen3-Embedding-8B,4096,5,0.7914909027777778,0.022595961399474764,0.8248510416666668,0.025533225865626275,,,0.804373486111111,0.057328848004378444
Qwen/Qwen3-Embedding-8B,4096,7,0.795580861111111,0.018715482487214632,0.8355695416666667,0.01826160327952393,,,0.8257277083333334,0.03585866977309962
Qwen/Qwen3-Embedding-8B,4096,10,0.7965409999999999,0.015552377251263128,0.8439529305555555,0.016086870528148417,0.838151625,0.02545664631250934,0.8439881527777777,0.021786992920604473
Qwen/Qwen3-Embedding-8B,4096,15,0.7955098194444444,0.014732396334995136,0.8481900972222222,0.013515790234894635,0.8386519305555555,0.02664836474667564,0.8537142916666667,0.01635951778698892
Qwen/Qwen3-Embedding-8B,4096,20,0.7953748888888889,0.013474077421352065,0.8491808472222222,0.012899652895901045,0.8392782638888889,0.02371755569171781,0.8590815694444445,0.012801787430985248
Qwen/Qwen3-Embedding-8B,4096,30,0.7958102916666667,0.012079509600975058,0.8492772361111111,0.01044569328381785,0.8419290972222222,0.021068584944347823,0.8660295416666667,0.010916253359991565
Qwen/Qwen3-Embedding-8B,4096,50,0.7971256805555555,0.011039912254113469,0.8460199305555556,0.010681647304553798,0.8437027916666666,0.016348615075173576,0.8723418194444444,0.009883622636385255
Qwen/Qwen3-Embedding-8B,4096,75,0.7969536805555556,0.01044337441158436,0.8430294305555556,0.009933990985695348,0.8469752083333333,0.013130802894144235,0.8761742083333333,0.008587246263338951
Qwen/Qwen3-Embedding-8B,4096,100,0.7971464305555556,0.00980577669399403,0.8410176527777777,0.009828756647617365,0.8533257638888889,0.010686580639595517,0.8788734583333333,0.007903074455836405
Qwen/Qwen3-Embedding-8B,4096,150,0.7973273333333333,0.009451569205702316,0.8392836527777777,0.009332680203800287,0.8609260416666666,0.009742920182270855,0.8819380972222223,0.007862649840816395
Qwen/Qwen3-Embedding-8B,4096,200,0.7971159861111111,0.009209198686799409,0.8384772638888889,0.008551143535699579,0.8674830694444444,0.008532677287949993,0.884633875,0.007358880418988583
