model,dim,n_ref,seed,auc_cos,auc_svd,auc_full,auc_logreg,best_k_svd
all-MiniLM-L6-v2,384,4,35,0.7272402777777778,0.7229541666666666,,0.7619319444444445,2
all-MiniLM-L6-v2,384,4,36,0.7673986111111111,0.7808708333333334,,0.7818847222222222,2
all-MiniLM-L6-v2,384,4,37,0.6550222222222222,0.6571444444444444,,0.7442944444444445,3
all-MiniLM-L6-v2,384,4,38,0.7287111111111111,0.7382277777777778,,0.7913722222222224,1
all-MiniLM-L6-v2,384,4,39,0.7827416666666668,0.7732027777777778,,0.7165472222222222,1
all-MiniLM-L6-v2,384,4,40,0.699198611111111,0.7046791666666666,,0.6876347222222222,3
all-MiniLM-L6-v2,384,4,41,0.7311625,0.7524986111111112,,0.7863791666666666,2
all-MiniLM-L6-v2,384,4,42,0.6499388888888888,0.6910527777777777,,0.7278583333333333,1
all-MiniLM-L6-v2,384,4,43,0.6974791666666665,0.7045874999999999,,0.6563708333333333,3
all-MiniLM-L6-v2,384,4,44,0.7462430555555555,0.7743402777777778,,0.7907597222222222,3
all-MiniLM-L6-v2,384,4,45,0.7765402777777778,0.7854013888888889,,0.7165236111111111,1
all-MiniLM-L6-v2,384,4,46,0.7432527777777778,0.7268583333333333,,0.6951833333333334,3
all-MiniLM-L6-v2,384,4,47,0.7755791666666667,0.7776680555555556,,0.7633708333333333,2
all-MiniLM-L6-v2,384,4,48,0.6845083333333334,0.6632305555555557,,0.5276111111111111,1
all-MiniLM-L6-v2,384,4,49,0.6777416666666667,0.6582527777777778,,0.6928722222222223,2
all-MiniLM-L6-v2,384,4,50,0.7871722222222223,0.7982027777777778,,0.7079833333333334,2
all-MiniLM-L6-v2,384,4,51,0.7832319444444444,0.7857347222222222,,0.7900319444444446,3
all-MiniLM-L6-v2,384,4,52,0.7786472222222223,0.7794166666666666,,0.8061361111111112,1
all-MiniLM-L6-v2,384,4,53,0.7324527777777777,0.7348916666666667,,0.6633249999999999,2
all-MiniLM-L6-v2,384,4,54,0.7389722222222221,0.754225,,0.7594527777777778,1
all-MiniLM-L6-v2,384,4,55,0.7546958333333333,0.7523013888888889,,0.7657208333333332,3
all-MiniLM-L6-v2,384,4,56,0.7355597222222221,0.7327541666666666,,0.7350930555555556,3
all-MiniLM-L6-v2,384,4,57,0.6637222222222222,0.6984111111111111,,0.7151222222222222,3
