dataset,model,method,source,n_seeds,mean_auc,std_auc,ci95_low,ci95_high,embedder
XSTest,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.8460988470819555,0.016627102883121386,0.8254535720375537,0.8667441221263573,
XSTest,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.7764143355080882,0.017203253853529287,0.7550536745462008,0.7977749964699757,
XSTest,Qwen3-Embedding-8B,B1_discriminant_mean_raw,E2d/E2q,5,0.8269461077844312,0.03156185668447055,0.7877568866228573,0.8661353289460052,
XSTest,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,E2d/E2q,5,0.9381088569130396,0.011542985234513914,0.923776347715546,0.9524413661105332,
XSTest,Qwen3-Embedding-8B,C1_logreg_raw,E2d/E2q,5,0.9294038788095451,0.011030269471665237,0.9157079903160923,0.9430997673029979,
XSTest,Qwen3-Embedding-8B,C1b_logreg_whitened,E2d/E2q,5,0.9376888015014746,0.011570873309399633,0.9233216646854162,0.952055938317533,
XSTest,all-mpnet-base-v2,A1_naive_cosine_raw,E2d/E2q,5,0.7617928322459558,0.02041828816674482,0.7364401789243589,0.7871454855675528,
XSTest,all-mpnet-base-v2,A1b_cosine_whitened,E2d/E2q,5,0.8972651711502369,0.012706407267174527,0.8814880827000715,0.9130422596004022,
XSTest,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.8463044061131468,0.024670536200110827,0.8156718894970865,0.8769369227292072,
XSTest,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.7884171954598266,0.022885535006964705,0.7600010505620465,0.8168333403576067,
XSTest,all-mpnet-base-v2,B1_discriminant_mean_raw,E2d/E2q,5,0.7851193136115828,0.02031858229210717,0.7598904614849328,0.8103481657382329,
XSTest,all-mpnet-base-v2,B1b_discriminant_mean_whitened,E2d/E2q,5,0.8969791759764053,0.013164081281965207,0.880633810179161,0.9133245417736496,
XSTest,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.8454553579408348,0.03132562562325499,0.8065594563832297,0.88435125949844,
XSTest,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.8390740906247206,0.02225809088607353,0.8114370205027357,0.8667111607467055,
XSTest,all-mpnet-base-v2,C1_logreg_raw,E2d/E2q,5,0.8541960854410583,0.024004674250777364,0.824390345635259,0.8840018252468576,
XSTest,all-mpnet-base-v2,C1b_logreg_whitened,E2d/E2q,5,0.8947180266333007,0.013478184850780535,0.877982649742951,0.9114534035236503,
XSTest,bge-base-en-v1.5,A1_naive_cosine_raw,E2d/E2q,5,0.7818571811600681,0.02252997864755983,0.7538825177930935,0.8098318445270427,
XSTest,bge-base-en-v1.5,A1b_cosine_whitened,E2d/E2q,5,0.8691572079721155,0.021747070156169206,0.8421546538927887,0.8961597620514423,
XSTest,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.8220126910358388,0.024366449592667823,0.7917577478125764,0.8522676342591013,
XSTest,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.7127714719814103,0.019000529008362826,0.6891791991648999,0.7363637447979208,
XSTest,bge-base-en-v1.5,B1_discriminant_mean_raw,E2d/E2q,5,0.7774689427115916,0.025573225596923294,0.745715589169949,0.8092222962532343,
XSTest,bge-base-en-v1.5,B1b_discriminant_mean_whitened,E2d/E2q,5,0.8679685405308787,0.022463360903125184,0.8400765940188101,0.8958604870429473,
XSTest,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.7553400661363839,0.03216135869068672,0.7154064649168405,0.7952736673559274,
XSTest,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.7789257306282956,0.019666062671373517,0.7545070886228321,0.8033443726337591,
XSTest,bge-base-en-v1.5,C1_logreg_raw,E2d/E2q,5,0.836240950933953,0.02565561393513981,0.8043852987588751,0.8680966031090309,
XSTest,bge-base-en-v1.5,C1b_logreg_whitened,E2d/E2q,5,0.8647332201269105,0.023148683308873746,0.8359903334564615,0.8934761067973594,
XSTest,bge-large-en-v1.5,A1_naive_cosine_raw,E2d/E2q,5,0.7724104030744481,0.021438300434102494,0.7457912372427469,0.7990295689061493,
XSTest,bge-large-en-v1.5,A1b_cosine_whitened,E2d/E2q,5,0.8882652605237287,0.01517240391480429,0.8694262328165103,0.907104288230947,
XSTest,bge-large-en-v1.5,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.8235588524443649,0.026602196620584218,0.7905278626274476,0.8565898422612822,
XSTest,bge-large-en-v1.5,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.7244972741084995,0.027899607148909565,0.68985533634767,0.759139211869329,
XSTest,bge-large-en-v1.5,B1_discriminant_mean_raw,E2d/E2q,5,0.7813030655107696,0.025970747253867405,0.749056123639193,0.8135500073823461,
XSTest,bge-large-en-v1.5,B1b_discriminant_mean_whitened,E2d/E2q,5,0.8876753954777012,0.014998132850593381,0.8690527538768422,0.9062980370785603,
XSTest,bge-large-en-v1.5,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.7806238269729199,0.02911958574224698,0.7444670857141641,0.8167805682316757,
XSTest,bge-large-en-v1.5,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.7965769952632049,0.027037501337149866,0.7630055032514798,0.8301484872749301,
XSTest,bge-large-en-v1.5,C1_logreg_raw,E2d/E2q,5,0.8361158280454017,0.02702226775877817,0.8025632510195045,0.8696684050712989,
XSTest,bge-large-en-v1.5,C1b_logreg_whitened,E2d/E2q,5,0.8865403521315578,0.015080469187252124,0.8678154764657257,0.9052652277973899,
ToxicChat,Qwen3-Embedding-8B,B1_raw,E8/E8q,5,0.9627696850774257,0.003057821443245589,0.9589728982784121,0.9665664718764392,
ToxicChat,Qwen3-Embedding-8B,B1b_SigmaT_wh,E8/E8q,5,0.9679207667175749,0.004549308401190508,0.9622720542590907,0.9735694791760591,
ToxicChat,Qwen3-Embedding-8B,B1w_SigmaW_wh,E8/E8q,5,0.9715987298702805,0.0035119489268781333,0.9672380693242456,0.9759593904163154,
ToxicChat,all-mpnet-base-v2,B1_raw,E8/E8q,5,0.9508885591663928,0.0047657727685291576,0.9449710706960902,0.9568060476366954,
ToxicChat,all-mpnet-base-v2,B1b_SigmaT_wh,E8/E8q,5,0.9616546967734452,0.002009294727591582,0.959159827848414,0.9641495656984763,
ToxicChat,all-mpnet-base-v2,B1w_SigmaW_wh,E8/E8q,5,0.9680324105399501,0.003804386841466091,0.9633086403636616,0.9727561807162387,
ToxicChat,bge-base-en-v1.5,B1_raw,E8/E8q,5,0.9472644846985133,0.006389727858734965,0.9393305896580024,0.9551983797390242,
ToxicChat,bge-base-en-v1.5,B1b_SigmaT_wh,E8/E8q,5,0.9524232992441085,0.006320856592254221,0.9445749191756975,0.9602716793125196,
ToxicChat,bge-base-en-v1.5,B1w_SigmaW_wh,E8/E8q,5,0.9616073327275891,0.004468409980215501,0.9560590689259412,0.9671555965292371,
