seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc,dataset,model,dim
2,200,200,184,4498,rot13,B1w_SigmaW_wh,0.9082430355520328,0.1933494041099063,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,rot13,C1_logreg_raw,0.7919957179036095,0.08429250013999412,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,A1_naive_cosine_raw,0.9230068436213197,0.5068897814462177,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,A2_rsfi_svd_raw_k20,0.9452341137123746,0.5981963148757448,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,B1_discriminant_mean_raw,0.9554173835714423,0.6429039995548421,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,B1b_SigmaT_wh,0.9593430413517119,0.7126899913329574,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,B1w_SigmaW_wh,0.9696217642623776,0.7324433446919775,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,zero_width,C1_logreg_raw,0.9740657683608174,0.7232552419070609,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,homoglyph,A1_naive_cosine_raw,0.8523546697082762,0.1293504642622855,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,homoglyph,A2_rsfi_svd_raw_k20,0.7812481876002861,0.07940362729489522,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,homoglyph,B1_discriminant_mean_raw,0.843888346511493,0.1323578353994051,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,homoglyph,B1b_SigmaT_wh,0.8948566512652966,0.21356015022506245,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,homoglyph,B1w_SigmaW_wh,0.9188395325458658,0.25881234136263215,ToxicChat,all-mpnet-base-v2,768
2,200,200,184,4498,homoglyph,C1_logreg_raw,0.8719479188818219,0.16885900105397877,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,clean,A1_naive_cosine_raw,0.9123740986332088,0.5293801495038692,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,clean,A2_rsfi_svd_raw_k20,0.9319045179500067,0.5714716710128944,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,clean,B1_discriminant_mean_raw,0.9494618381116244,0.6496724108373221,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,clean,B1b_SigmaT_wh,0.9611796063951129,0.695325905945105,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,clean,B1w_SigmaW_wh,0.9636420534730412,0.7065535213036482,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,clean,C1_logreg_raw,0.9657951843331335,0.6944559606000342,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,base64,A1_naive_cosine_raw,0.7479241981943665,0.07667801681373039,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,base64,A2_rsfi_svd_raw_k20,0.5255125466390859,0.04104751677197807,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,base64,B1_discriminant_mean_raw,0.6562904769269434,0.06157825681238148,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,base64,B1b_SigmaT_wh,0.5789179248748236,0.0480923740816884,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,base64,B1w_SigmaW_wh,0.6371769095443385,0.055519153746395294,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,base64,C1_logreg_raw,0.6850363446555957,0.06881257948839112,ToxicChat,all-mpnet-base-v2,768
3,200,200,184,4498,leetspeak,A1_naive_cosine_raw,0.7747169031646916,0.08162802783368543,ToxicChat,all-mpnet-base-v2,768
