source,dataset,model,pair,n_seeds,auc_diff_mean,auc_diff_std,wins_m1,ties,losses,p_mean,p_max,frac_p_below_0_05,n_valid_p
E12,HarmBench,Qwen3-Embedding-8B,B1w_vs_B1,5,4.999999999994495e-06,0.00020031225624009836,4,0,1,0.4599657234765681,0.737609163657442,0.0,
E12,HarmBench,Qwen3-Embedding-8B,B1w_vs_B1b,5,4.999999999997229e-05,3.952847075204773e-05,4,1,0,,,0.0,
E12,HarmBench,all-mpnet-base-v2,A3_vs_A1,5,0.00240000000000002,0.009261462492500766,3,0,2,0.5936899220454599,0.9505050343519112,0.0,
E12,HarmBench,all-mpnet-base-v2,B1_vs_A1,5,0.04568999999999995,0.0031803399975473792,5,0,0,8.597143357658154e-07,2.055726391780865e-06,1.0,
E12,HarmBench,all-mpnet-base-v2,B1_vs_C1,5,-0.006604999999999979,0.0014566013524639362,0,0,5,0.005361639773707119,0.0087651661336338,1.0,
E12,HarmBench,all-mpnet-base-v2,B1b_vs_A1b,5,7.999999999998614e-05,0.0002189463404580953,3,0,2,0.47559574802122884,0.7574738946183519,0.0,
E12,HarmBench,all-mpnet-base-v2,B1b_vs_B1,10,0.00674499999999988,0.002079489787851185,10,0,0,0.03318702953050928,0.0619108977127296,0.8,
E12,HarmBench,all-mpnet-base-v2,B1b_vs_C1b,5,0.0001649999999999178,5.18411033832914e-05,5,0,0,0.42595609822390557,0.6229102949432246,0.0,
E12,HarmBench,all-mpnet-base-v2,B1w_vs_B1,5,0.007289999999999938,0.002136264262679046,5,0,0,0.016626778107554783,0.0266235841153987,1.0,
E12,HarmBench,all-mpnet-base-v2,B1w_vs_B1b,5,0.000545,0.0002034084560681383,5,0,0,0.15242533899259136,0.3341912536790334,0.0,
E12,HarmBench,bge-base-en-v1.5,A3_vs_A1,5,0.030554999999999936,0.013894360366709988,5,0,0,0.1661716892791413,0.3913245108420284,0.6,
E12,HarmBench,bge-base-en-v1.5,B1_vs_A1,5,0.09811499999999994,0.006652222373011932,5,0,0,6.227591775598284e-11,1.2851608666153425e-10,1.0,
E12,HarmBench,bge-base-en-v1.5,B1_vs_C1,5,-0.00627499999999994,0.00041907636535596634,0,0,5,0.00166585089536554,0.0034347158805803,1.0,
E12,HarmBench,bge-base-en-v1.5,B1b_vs_A1b,5,-0.00012999999999996833,0.00021894634045804365,1,0,4,0.42063219408060004,0.8315489568861596,0.0,
E12,HarmBench,bge-base-en-v1.5,B1b_vs_B1,10,0.007424999999999959,0.001727072024490554,10,0,0,0.03922857807710527,0.0858094474706752,0.6,
E12,HarmBench,bge-base-en-v1.5,B1b_vs_C1b,5,0.0005849999999999822,0.0005212964607590517,5,0,0,0.2891581293262651,0.9999999999996274,0.6,
E12,HarmBench,bge-base-en-v1.5,B1w_vs_B1,5,0.00825499999999994,0.0016353898617760278,5,0,0,0.018680378205258776,0.0473659239307491,1.0,
E12,HarmBench,bge-base-en-v1.5,B1w_vs_B1b,5,0.0008299999999999599,0.0003497320402822895,5,0,0,0.13182055688418556,0.4319729269383867,0.6,
E12,HarmBench,bge-large-en-v1.5,A3_vs_A1,5,0.0009575000000000002,0.006627261406493569,2,0,3,0.7563059035803997,0.9736987310296544,0.0,
E12,HarmBench,bge-large-en-v1.5,B1_vs_A1,5,0.06488749999999997,0.006928755750493766,5,0,0,5.5079460414830807e-08,1.0679495154874985e-07,1.0,
E12,HarmBench,bge-large-en-v1.5,B1_vs_C1,5,-0.0062499999999999,0.0013973188612481774,0,0,5,0.0032450861635620796,0.006219977270927,1.0,
E12,HarmBench,bge-large-en-v1.5,B1b_vs_A1b,5,0.00014500000000001388,0.0002387467277261987,4,0,1,0.5996994318449858,0.8600097460765466,0.0,
