dataset,embedder,seed,method,roc_auc,tpr_fpr1,tpr_fpr5,tpr_fpr10,fpr_tpr90,brier,ece10
HarmBench,bge-large-en-v1.5,2,B1w_SigmaW,0.999125,0.97,1.0,1.0,0.0,0.08285730455148343,0.24621208865195512
HarmBench,bge-large-en-v1.5,3,A1_raw,0.924575,0.33,0.605,0.815,0.215,0.19047135237742022,0.21367076644208285
HarmBench,bge-large-en-v1.5,3,B1_raw,0.9915,0.865,0.97,0.975,0.025,0.08840005906613235,0.20484226529486477
HarmBench,bge-large-en-v1.5,3,B1b_SigmaT,0.9977750000000001,0.97,0.99,1.0,0.005,0.09548219458608752,0.2691738792508841
HarmBench,bge-large-en-v1.5,3,B1w_SigmaW,0.9982000000000001,0.98,0.995,1.0,0.005,0.08655077072818224,0.25862407792359593
HarmBench,bge-large-en-v1.5,4,A1_raw,0.9252999999999999,0.265,0.56,0.775,0.165,0.17694080716722774,0.21295258730649946
HarmBench,bge-large-en-v1.5,4,B1_raw,0.9884000000000001,0.85,0.965,0.98,0.04,0.09227273267616966,0.21506111996248362
HarmBench,bge-large-en-v1.5,4,B1b_SigmaT,0.9986,0.99,0.99,0.995,0.0,0.13421152210796886,0.29135501974262296
HarmBench,bge-large-en-v1.5,4,B1w_SigmaW,0.99885,0.98,0.995,1.0,0.0,0.08926402609473891,0.2551305662468076
HarmBench,Qwen3-Embedding-8B,0,A1_raw,0.850425,0.42,0.56,0.585,0.44,0.1643856130668142,0.08492779649794102
HarmBench,Qwen3-Embedding-8B,0,B1_raw,0.9999,0.995,1.0,1.0,0.0,0.07597917050019451,0.25372154384851453
HarmBench,Qwen3-Embedding-8B,0,B1b_SigmaT,0.999975,1.0,1.0,1.0,0.0,0.2237343544312421,0.3852374077774584
HarmBench,Qwen3-Embedding-8B,0,B1w_SigmaW,1.0,1.0,1.0,1.0,0.0,0.13440914531248102,0.3223569179885089
HarmBench,Qwen3-Embedding-8B,1,A1_raw,0.84415,0.195,0.54,0.59,0.455,0.17395762788495403,0.11066136106848717
HarmBench,Qwen3-Embedding-8B,1,B1_raw,0.9996499999999999,0.995,0.995,1.0,0.0,0.08042489747123537,0.2533994964510202
HarmBench,Qwen3-Embedding-8B,1,B1b_SigmaT,0.999675,1.0,1.0,1.0,0.0,0.23956925794262746,0.3897019303776324
HarmBench,Qwen3-Embedding-8B,1,B1w_SigmaW,0.9997499999999999,1.0,1.0,1.0,0.0,0.13648707950487798,0.3115828937478364
HarmBench,Qwen3-Embedding-8B,2,A1_raw,0.8487,0.37,0.545,0.6,0.445,0.16747437568463616,0.1052464697510004
HarmBench,Qwen3-Embedding-8B,2,B1_raw,0.999875,0.995,1.0,1.0,0.0,0.07761575229278117,0.2590483656153083
HarmBench,Qwen3-Embedding-8B,2,B1b_SigmaT,1.0,1.0,1.0,1.0,0.0,0.22464060682224626,0.3850171125680209
HarmBench,Qwen3-Embedding-8B,2,B1w_SigmaW,1.0,1.0,1.0,1.0,0.0,0.13065187823841476,0.32721678525209424
HarmBench,Qwen3-Embedding-8B,3,A1_raw,0.824875,0.37,0.515,0.575,0.555,0.17533884621348783,0.09182700129225847
HarmBench,Qwen3-Embedding-8B,3,B1_raw,0.999975,1.0,1.0,1.0,0.0,0.07690841995295768,0.2549317304603756
HarmBench,Qwen3-Embedding-8B,3,B1b_SigmaT,0.999525,0.995,0.995,1.0,0.0,0.15711449672367006,0.3385654850490391
HarmBench,Qwen3-Embedding-8B,3,B1w_SigmaW,0.9996249999999999,0.995,1.0,1.0,0.0,0.1186181300832872,0.29662659182213247
HarmBench,Qwen3-Embedding-8B,4,A1_raw,0.845175,0.355,0.495,0.56,0.4,0.17423160131330417,0.11098534028977156
HarmBench,Qwen3-Embedding-8B,4,B1_raw,0.999925,0.995,1.0,1.0,0.0,0.06782414339428293,0.22630576614290474
HarmBench,Qwen3-Embedding-8B,4,B1b_SigmaT,0.999925,1.0,1.0,1.0,0.0,0.23673764384696105,0.38935254063457253
HarmBench,Qwen3-Embedding-8B,4,B1w_SigmaW,0.999975,1.0,1.0,1.0,0.0,0.13701851120397368,0.3274483161699027
