dataset,seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc
Wild,3,200,200,800,800,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9021351562500001,0.8015978585346152
Wild,3,200,200,800,800,clean,EXT:toxic-bert,0.71050625,0.6750330364757345
Wild,3,200,200,800,800,base64,EXT:toxic-bert,0.87300625,0.7887668949365032
Wild,3,200,200,800,800,leetspeak,EXT:toxic-bert,0.9254718749999999,0.853120092562505
Wild,3,200,200,800,800,rot13,EXT:toxic-bert,0.8466921875,0.7035406110801575
Wild,3,200,200,800,800,zero_width,EXT:toxic-bert,0.7106203125000001,0.6751089927378939
Wild,3,200,200,800,800,homoglyph,EXT:toxic-bert,0.960525,0.9352347113924382
Wild,4,200,200,800,800,clean,EXT:deberta-v3-base-prompt-injection-v2,0.8448054687500001,0.8232579009799162
Wild,4,200,200,800,800,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9028828125,0.7702569372650062
Wild,4,200,200,800,800,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.919103125,0.7967222555829209
Wild,4,200,200,800,800,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.8614937500000001,0.7199783026075819
Wild,4,200,200,800,800,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.9398234375,0.8342347389256235
Wild,4,200,200,800,800,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9064484375,0.8083275997890296
Wild,4,200,200,800,800,clean,EXT:toxic-bert,0.7308601562499999,0.6987709249557267
Wild,4,200,200,800,800,base64,EXT:toxic-bert,0.8957843750000001,0.8144549557093237
Wild,4,200,200,800,800,leetspeak,EXT:toxic-bert,0.9371703124999999,0.8682270453460286
Wild,4,200,200,800,800,rot13,EXT:toxic-bert,0.8715203125,0.7378809468794424
Wild,4,200,200,800,800,zero_width,EXT:toxic-bert,0.73092265625,0.6988170464119158
Wild,4,200,200,800,800,homoglyph,EXT:toxic-bert,0.9658109375,0.9411631827997307
XSTest,0,66,83,134,167,clean,EXT:deberta-v3-base-prompt-injection-v2,0.39078559299311827,0.363644388975717
XSTest,0,66,83,134,167,base64,EXT:deberta-v3-base-prompt-injection-v2,0.996961301278041,0.9952434710239908
XSTest,0,66,83,134,167,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.999731879524533,0.9996620108655122
XSTest,0,66,83,134,167,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.9790419161676647,0.9594230791782382
XSTest,0,66,83,134,167,zero_width,EXT:deberta-v3-base-prompt-injection-v2,1.0,1.0
XSTest,0,66,83,134,167,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9962016265975511,0.9944445746227605
XSTest,0,66,83,134,167,clean,EXT:toxic-bert,0.6254356957726338,0.5263628948800301
XSTest,0,66,83,134,167,base64,EXT:toxic-bert,0.8603092322817052,0.6916609300543678
XSTest,0,66,83,134,167,leetspeak,EXT:toxic-bert,0.8362677629814996,0.6535168853267602
XSTest,0,66,83,134,167,rot13,EXT:toxic-bert,0.7722316560908035,0.5888713162085274
XSTest,0,66,83,134,167,zero_width,EXT:toxic-bert,0.6254356957726338,0.5263628948800301
XSTest,0,66,83,134,167,homoglyph,EXT:toxic-bert,0.896505496469747,0.7448187307736293
XSTest,1,66,83,134,167,clean,EXT:deberta-v3-base-prompt-injection-v2,0.4160782911788363,0.3753137123246876
XSTest,1,66,83,134,167,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9965591205648405,0.9947164189628559
XSTest,1,66,83,134,167,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9997765662704441,0.9997194161467982
XSTest,1,66,83,134,167,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.9727857717401018,0.9491848555423806
XSTest,1,66,83,134,167,zero_width,EXT:deberta-v3-base-prompt-injection-v2,1.0,1.0
XSTest,1,66,83,134,167,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.9960675663598177,0.9946226023690805
XSTest,1,66,83,134,167,clean,EXT:toxic-bert,0.6230226114934311,0.5341371536745478
XSTest,1,66,83,134,167,base64,EXT:toxic-bert,0.8560193046742337,0.6955393143643238
XSTest,1,66,83,134,167,leetspeak,EXT:toxic-bert,0.8486906783448029,0.6721512879412224
XSTest,1,66,83,134,167,rot13,EXT:toxic-bert,0.7795155956743229,0.5984926425770491
XSTest,1,66,83,134,167,zero_width,EXT:toxic-bert,0.6230226114934311,0.5341371536745478
XSTest,1,66,83,134,167,homoglyph,EXT:toxic-bert,0.906649387791581,0.7638380845539
XSTest,2,66,83,134,167,clean,EXT:deberta-v3-base-prompt-injection-v2,0.3969747073018143,0.37045917629755937
XSTest,2,66,83,134,167,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9970059880239521,0.9954642550538639
XSTest,2,66,83,134,167,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.999731879524533,0.9996620108655122
XSTest,2,66,83,134,167,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.9707525248011439,0.9474272558225422
XSTest,2,66,83,134,167,zero_width,EXT:deberta-v3-base-prompt-injection-v2,1.0,1.0
XSTest,2,66,83,134,167,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.995844132630262,0.9940732572800404
XSTest,2,66,83,134,167,clean,EXT:toxic-bert,0.6461703458754134,0.5711934289557176
XSTest,2,66,83,134,167,base64,EXT:toxic-bert,0.8779158101707034,0.7367846878927502
XSTest,2,66,83,134,167,leetspeak,EXT:toxic-bert,0.8518187505585844,0.6807505986354154
XSTest,2,66,83,134,167,rot13,EXT:toxic-bert,0.7932791134149612,0.6104314074227586
XSTest,2,66,83,134,167,zero_width,EXT:toxic-bert,0.6461703458754134,0.5711934289557176
XSTest,2,66,83,134,167,homoglyph,EXT:toxic-bert,0.9226919295736884,0.811618786230888
