train_ds,target_ds,embedder,seed,method,n_test,roc_auc,pr_auc,tpr_fpr1,tpr_fpr5
Wild,ToxicChat,all-mpnet-base-v2,4,DELONG_B1w_vs_A1,400,0.6673273548922996,,,
Wild,XSTest,all-mpnet-base-v2,4,A1_raw,400,0.6103500000000001,0.6230230020508527,0.065,0.13
Wild,XSTest,all-mpnet-base-v2,4,B1_raw,400,0.6115,0.5713265815116876,0.01,0.035
Wild,XSTest,all-mpnet-base-v2,4,B1b_SigmaT,400,0.590475,0.5626677945864607,0.0,0.075
Wild,XSTest,all-mpnet-base-v2,4,B1w_SigmaW,400,0.59615,0.5706711832231667,0.0,0.09
Wild,XSTest,all-mpnet-base-v2,4,DELONG_B1w_vs_A1,400,0.6969817439465265,,,
Wild,AdvBench,all-mpnet-base-v2,4,A1_raw,400,0.78315,0.6892215901596755,0.0,0.045
Wild,AdvBench,all-mpnet-base-v2,4,B1_raw,400,0.770375,0.7146949741251057,0.015,0.19
Wild,AdvBench,all-mpnet-base-v2,4,B1b_SigmaT,400,0.459725,0.4622358065850239,0.0,0.025
Wild,AdvBench,all-mpnet-base-v2,4,B1w_SigmaW,400,0.4354,0.4467576054899438,0.0,0.025
Wild,AdvBench,all-mpnet-base-v2,4,DELONG_B1w_vs_A1,400,0.0,,,
Wild,HarmBench,all-mpnet-base-v2,4,A1_raw,400,0.6861250000000001,0.5973675495361725,0.0,0.01
Wild,HarmBench,all-mpnet-base-v2,4,B1_raw,400,0.688225,0.6365826327692093,0.005,0.14
Wild,HarmBench,all-mpnet-base-v2,4,B1b_SigmaT,400,0.5028,0.4999541858691478,0.01,0.045
Wild,HarmBench,all-mpnet-base-v2,4,B1w_SigmaW,400,0.505375,0.4990975055648807,0.015,0.055
Wild,HarmBench,all-mpnet-base-v2,4,DELONG_B1w_vs_A1,400,1.4929516447548252e-06,,,
Wild,Wild,bge-base-en-v1.5,0,A1_raw,400,0.7701375,0.74459445081335,0.09,0.21
Wild,Wild,bge-base-en-v1.5,0,B1_raw,400,0.8596125,0.8200928967661726,0.08,0.26
