seed,method,roc_auc,n_test,k
4,B2_contrastive_svd_raw_k50,0.9621365534440427,4682,50.0
4,B2_contrastive_svd_raw_k100,0.9578979546465095,4682,100.0
4,B2_contrastive_svd_raw_k200,0.941652207744505,4682,200.0
4,B2b_contrastive_svd_whitened_k1,0.8865474027103833,4682,1.0
4,B2b_contrastive_svd_whitened_k2,0.876635992808398,4682,2.0
4,B2b_contrastive_svd_whitened_k5,0.926272787905736,4682,5.0
4,B2b_contrastive_svd_whitened_k10,0.9181979430471513,4682,10.0
4,B2b_contrastive_svd_whitened_k20,0.925683153865486,4682,20.0
4,B2b_contrastive_svd_whitened_k50,0.942928741276316,4682,50.0
4,B2b_contrastive_svd_whitened_k100,0.9417651806600034,4682,100.0
4,B2b_contrastive_svd_whitened_k200,0.9206881802540259,4682,200.0
4,C1_logreg_raw,0.9776676107255399,4682,
4,C1b_logreg_whitened,0.957597096294005,4682,
