dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
ToxicChat,bge-large-en-v1.5,1024,1,A1_naive_cosine_raw,0.8815222224370253,0.4569553248968935,4682
ToxicChat,bge-large-en-v1.5,1024,1,A1b_cosine_whitened,0.9558886074970518,0.6736399062208024,4682
ToxicChat,bge-large-en-v1.5,1024,1,A2_rsfi_svd_raw_k20,0.9147199479962109,0.5276944605296322,4682
ToxicChat,bge-large-en-v1.5,1024,1,A3_rsfi_svd_whitened_k20,0.8284587836139734,0.40131478210313304,4682
ToxicChat,bge-large-en-v1.5,1024,1,B1_discriminant_mean_raw,0.9513467338140622,0.6019726153202376,4682
ToxicChat,bge-large-en-v1.5,1024,1,B1b_discriminant_mean_whitened,0.9561604674541343,0.6647928935675566,4682
ToxicChat,bge-large-en-v1.5,1024,1,B2_contrastive_svd_raw_k20,0.947357037910569,0.5112887562629911,4682
ToxicChat,bge-large-en-v1.5,1024,1,B2b_contrastive_svd_whitened_k20,0.9116878032748854,0.49837443909809437,4682
ToxicChat,bge-large-en-v1.5,1024,1,C1_logreg_raw,0.9731994412975815,0.6873915402011136,4682
ToxicChat,bge-large-en-v1.5,1024,1,C1b_logreg_whitened,0.952971852224177,0.6464361222914042,4682
ToxicChat,bge-large-en-v1.5,1024,2,A1_naive_cosine_raw,0.8869497554468654,0.4266290271385116,4682
ToxicChat,bge-large-en-v1.5,1024,2,A1b_cosine_whitened,0.9573264446033987,0.7135240069412225,4682
ToxicChat,bge-large-en-v1.5,1024,2,A2_rsfi_svd_raw_k20,0.9314139617607824,0.5720588852226927,4682
ToxicChat,bge-large-en-v1.5,1024,2,A3_rsfi_svd_whitened_k20,0.8750350397278018,0.4131771124296103,4682
ToxicChat,bge-large-en-v1.5,1024,2,B1_discriminant_mean_raw,0.9596281922400295,0.648253377894279,4682
ToxicChat,bge-large-en-v1.5,1024,2,B1b_discriminant_mean_whitened,0.9580840276838014,0.7037676077611961,4682
ToxicChat,bge-large-en-v1.5,1024,2,B2_contrastive_svd_raw_k20,0.9577626288012062,0.6332206291418572,4682
ToxicChat,bge-large-en-v1.5,1024,2,B2b_contrastive_svd_whitened_k20,0.932085757921395,0.5073809747966866,4682
ToxicChat,bge-large-en-v1.5,1024,2,C1_logreg_raw,0.974118932085758,0.7295880109974653,4682
ToxicChat,bge-large-en-v1.5,1024,2,C1b_logreg_whitened,0.9563296247607633,0.6828516799507066,4682
ToxicChat,bge-large-en-v1.5,1024,3,A1_naive_cosine_raw,0.8708290641251185,0.43167848648347773,4682
ToxicChat,bge-large-en-v1.5,1024,3,A1b_cosine_whitened,0.9507123939142035,0.6928567049540703,4682
ToxicChat,bge-large-en-v1.5,1024,3,A2_rsfi_svd_raw_k20,0.9027478396195409,0.5043772523044223,4682
ToxicChat,bge-large-en-v1.5,1024,3,A3_rsfi_svd_whitened_k20,0.8656492257428423,0.37482316408489813,4682
ToxicChat,bge-large-en-v1.5,1024,3,B1_discriminant_mean_raw,0.9506278152608889,0.6321966557015046,4682
ToxicChat,bge-large-en-v1.5,1024,3,B1b_discriminant_mean_whitened,0.9532231716511685,0.6998426871880764,4682
ToxicChat,bge-large-en-v1.5,1024,3,B2_contrastive_svd_raw_k20,0.9537874320954242,0.5334547688261213,4682
ToxicChat,bge-large-en-v1.5,1024,3,B2b_contrastive_svd_whitened_k20,0.9358543410597948,0.46856907576643836,4682
ToxicChat,bge-large-en-v1.5,1024,3,C1_logreg_raw,0.9690381715545073,0.7096925191522679,4682
ToxicChat,bge-large-en-v1.5,1024,3,C1b_logreg_whitened,0.9507522667079089,0.6842831078691106,4682
ToxicChat,bge-large-en-v1.5,1024,4,A1_naive_cosine_raw,0.8834433661337407,0.42184608503397686,4682
