dataset,model,seed,alpha,auc
Wild,bge-large-en-v1.5,0,100.0,0.12079687499999998
Wild,bge-large-en-v1.5,1,0.5,0.18965312500000003
Wild,bge-large-en-v1.5,1,1.0,0.153940625
Wild,bge-large-en-v1.5,1,1.5,0.14203906249999998
Wild,bge-large-en-v1.5,1,3.0,0.1330765625
Wild,bge-large-en-v1.5,1,5.0,0.130996875
Wild,bge-large-en-v1.5,1,10.0,0.13046249999999998
Wild,bge-large-en-v1.5,1,30.0,0.130484375
Wild,bge-large-en-v1.5,1,100.0,0.13074687499999998
Wild,bge-large-en-v1.5,2,0.5,0.18998593749999998
Wild,bge-large-en-v1.5,2,1.0,0.1517734375
Wild,bge-large-en-v1.5,2,1.5,0.1396703125
Wild,bge-large-en-v1.5,2,3.0,0.13117656249999998
Wild,bge-large-en-v1.5,2,5.0,0.1296703125
Wild,bge-large-en-v1.5,2,10.0,0.12945937500000002
Wild,bge-large-en-v1.5,2,30.0,0.12940625
Wild,bge-large-en-v1.5,2,100.0,0.12958281249999998
Wild,bge-large-en-v1.5,3,0.5,0.1998953125
Wild,bge-large-en-v1.5,3,1.0,0.1624359375
Wild,bge-large-en-v1.5,3,1.5,0.1498875
Wild,bge-large-en-v1.5,3,3.0,0.13913906249999997
Wild,bge-large-en-v1.5,3,5.0,0.136421875
Wild,bge-large-en-v1.5,3,10.0,0.135021875
Wild,bge-large-en-v1.5,3,30.0,0.13439375
Wild,bge-large-en-v1.5,3,100.0,0.134321875
Wild,bge-large-en-v1.5,4,0.5,0.1849671875
Wild,bge-large-en-v1.5,4,1.0,0.14890781250000001
Wild,bge-large-en-v1.5,4,1.5,0.1369
Wild,bge-large-en-v1.5,4,3.0,0.12725468750000002
Wild,bge-large-en-v1.5,4,5.0,0.125134375
Wild,bge-large-en-v1.5,4,10.0,0.12443749999999999
Wild,bge-large-en-v1.5,4,30.0,0.12425312499999999
Wild,bge-large-en-v1.5,4,100.0,0.124203125
XSTest,all-mpnet-base-v2,0,0.5,0.21194923585664488
XSTest,all-mpnet-base-v2,0,1.0,0.19706854946822774
XSTest,all-mpnet-base-v2,0,1.5,0.19067834480293144
XSTest,all-mpnet-base-v2,0,3.0,0.18576280275270352
XSTest,all-mpnet-base-v2,0,5.0,0.18661185092501564
XSTest,all-mpnet-base-v2,0,10.0,0.1866565376709268
XSTest,all-mpnet-base-v2,0,30.0,0.18670122441683798
XSTest,all-mpnet-base-v2,0,100.0,0.1865671641791045
XSTest,all-mpnet-base-v2,1,0.5,0.27388506568951654
XSTest,all-mpnet-base-v2,1,1.0,0.2620877647689696
XSTest,all-mpnet-base-v2,1,1.5,0.2527482348735365
XSTest,all-mpnet-base-v2,1,3.0,0.24381088569130396
XSTest,all-mpnet-base-v2,1,5.0,0.24251497005988024
XSTest,all-mpnet-base-v2,1,10.0,0.24188935561712394
XSTest,all-mpnet-base-v2,1,30.0,0.24211278934667976
XSTest,all-mpnet-base-v2,1,100.0,0.2423362230762356
XSTest,all-mpnet-base-v2,2,0.5,0.26030029493252305
XSTest,all-mpnet-base-v2,2,1.0,0.23818035570649748
XSTest,all-mpnet-base-v2,2,1.5,0.23205827151666816
XSTest,all-mpnet-base-v2,2,3.0,0.22745553668781837
XSTest,all-mpnet-base-v2,2,5.0,0.22736616319599606
XSTest,all-mpnet-base-v2,2,10.0,0.22785771740101893
XSTest,all-mpnet-base-v2,2,30.0,0.22866207882741982
XSTest,all-mpnet-base-v2,2,100.0,0.22901957279470908
XSTest,all-mpnet-base-v2,3,0.5,0.2436321387076593
XSTest,all-mpnet-base-v2,3,1.0,0.23411386182858163
XSTest,all-mpnet-base-v2,3,1.5,0.22910894628653142
XSTest,all-mpnet-base-v2,3,3.0,0.2245508982035928
XSTest,all-mpnet-base-v2,3,5.0,0.22392528376083654
XSTest,all-mpnet-base-v2,3,10.0,0.22450621145768165
XSTest,all-mpnet-base-v2,3,30.0,0.224595584949504
XSTest,all-mpnet-base-v2,3,100.0,0.22486370542497094
XSTest,all-mpnet-base-v2,4,0.5,0.23179015104120118
XSTest,all-mpnet-base-v2,4,1.0,0.2190544284565198
XSTest,all-mpnet-base-v2,4,1.5,0.21476450084904816
XSTest,all-mpnet-base-v2,4,3.0,0.20940209133970863
XSTest,all-mpnet-base-v2,4,5.0,0.20850835642148535
XSTest,all-mpnet-base-v2,4,10.0,0.20819554920010724
XSTest,all-mpnet-base-v2,4,30.0,0.20761462150326213
XSTest,all-mpnet-base-v2,4,100.0,0.20734650102779514
XSTest,bge-base-en-v1.5,0,0.5,0.1854499955313254
