dataset,seed,n_test,model,pair,method_1,method_2,auc_1,auc_2,auc_diff,p_value
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.9996937499999999,0.0003062500000000634,0.13738284540095314
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.996828125,0.9996937499999999,-0.0028656249999999828,0.010298130112003978
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.9994000000000001,0.0005999999999999339,0.0640561410226359
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9877937499999999,0.9994000000000001,-0.011606250000000151,2.7359487171363384e-06
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.9996343750000001,0.00036562499999992504,0.19123308415155815
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.994678125,0.9996343750000001,-0.004956250000000106,0.00011358615738288336
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.999371875,0.0006281249999999794,0.07279387179313268
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.99485625,0.999371875,-0.004515625000000023,0.004554338888414167
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.9995343750000001,0.000465624999999914,0.08878836521251454
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.994590625,0.9995343750000001,-0.0049437500000001355,0.02494052069193642
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.9974531249999999,0.0025468750000000595,0.05556214934925974
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.994746875,0.9974531249999999,-0.00270624999999991,0.27845402377293826
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.9972625,0.0027374999999999483,0.1347145829045453
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.993228125,0.9972625,-0.0040343750000000345,0.1500762658265724
