dataset,seed,n_test,model,cos_mu_mal_safe,mal_homog,safe_homog
HarmBench_BB_Safe,0,1200,Qwen3-Embedding-8B,0.6635787487030029,0.30932214856147766,0.46863535046577454
HarmBench_BB_Safe,1,1200,Qwen3-Embedding-8B,0.6702591180801392,0.3111853301525116,0.480652779340744
HarmBench_BB_Safe,2,1200,Qwen3-Embedding-8B,0.6623073816299438,0.30461257696151733,0.4748048782348633
HarmBench_BB_Safe,3,1200,Qwen3-Embedding-8B,0.6568062901496887,0.3163032829761505,0.473751962184906
HarmBench_BB_Safe,4,1200,Qwen3-Embedding-8B,0.6725062131881714,0.3135565519332886,0.4740944504737854
HarmBench_BB_Mixed,0,600,all-mpnet-base-v2,0.1851368099451065,0.19350425899028778,0.383305162191391
HarmBench_BB_Mixed,1,600,all-mpnet-base-v2,0.20882484316825867,0.19492347538471222,0.3265649378299713
HarmBench_BB_Mixed,2,600,all-mpnet-base-v2,0.18399688601493835,0.19526155292987823,0.3822287917137146
HarmBench_BB_Mixed,3,600,all-mpnet-base-v2,0.21565860509872437,0.19429658353328705,0.3160945773124695
HarmBench_BB_Mixed,4,600,all-mpnet-base-v2,0.18247614800930023,0.19396013021469116,0.365862101316452
HarmBench_BB_Mixed,0,600,bge-base-en-v1.5,0.7666179537773132,0.5197324752807617,0.6207464337348938
HarmBench_BB_Mixed,1,600,bge-base-en-v1.5,0.7914310693740845,0.5217838883399963,0.5874744653701782
HarmBench_BB_Mixed,2,600,bge-base-en-v1.5,0.7678332924842834,0.5235782265663147,0.6210815906524658
HarmBench_BB_Mixed,3,600,bge-base-en-v1.5,0.8014700412750244,0.5209251046180725,0.5831115245819092
HarmBench_BB_Mixed,4,600,bge-base-en-v1.5,0.7721123099327087,0.5199938416481018,0.6040892004966736
HarmBench_BB_Mixed,0,600,bge-large-en-v1.5,0.757826566696167,0.5360007882118225,0.6058216094970703
HarmBench_BB_Mixed,1,600,bge-large-en-v1.5,0.7845427989959717,0.5346295237541199,0.5739567875862122
HarmBench_BB_Mixed,2,600,bge-large-en-v1.5,0.7585856318473816,0.5386984348297119,0.6022402048110962
HarmBench_BB_Mixed,3,600,bge-large-en-v1.5,0.792896568775177,0.535444438457489,0.5702276229858398
HarmBench_BB_Mixed,4,600,bge-large-en-v1.5,0.7639041543006897,0.5340084433555603,0.5886436104774475
HarmBench_BB_Mixed,0,600,Qwen3-Embedding-8B,0.6417478322982788,0.30932214856147766,0.5034692287445068
HarmBench_BB_Mixed,1,600,Qwen3-Embedding-8B,0.6631382703781128,0.3111853301525116,0.4643215239048004
HarmBench_BB_Mixed,2,600,Qwen3-Embedding-8B,0.637851357460022,0.30461257696151733,0.5013014674186707
HarmBench_BB_Mixed,3,600,Qwen3-Embedding-8B,0.6684792041778564,0.3163032829761505,0.45340821146965027
HarmBench_BB_Mixed,4,600,Qwen3-Embedding-8B,0.6486152410507202,0.3135565519332886,0.4918937385082245
