train_ds,target_ds,embedder,method,mean_auc,std_auc
HarmBench,XSTest,bge-base-en-v1.5,A1_raw,0.7689549999999999,0.00926659659745693
HarmBench,XSTest,bge-base-en-v1.5,B1_raw,0.7525,0.004548213935161822
HarmBench,XSTest,bge-base-en-v1.5,B1b_SigmaT,0.70753,0.02815493629010731
HarmBench,XSTest,bge-base-en-v1.5,B1w_SigmaW,0.72862,0.029946109931007728
HarmBench,XSTest,bge-base-en-v1.5,DELONG_B1w_vs_A1,0.2740270622163414,0.2828643013277536
HarmBench,XSTest,bge-large-en-v1.5,A1_raw,0.751835,0.005699660077583621
HarmBench,XSTest,bge-large-en-v1.5,B1_raw,0.75682,0.00505090957155247
HarmBench,XSTest,bge-large-en-v1.5,B1b_SigmaT,0.67766,0.03450238035266553
HarmBench,XSTest,bge-large-en-v1.5,B1w_SigmaW,0.69936,0.02957635563249803
HarmBench,XSTest,bge-large-en-v1.5,DELONG_B1w_vs_A1,0.15818896359402154,0.15004483023577034
ToxicChat,AdvBench,Qwen3-Embedding-8B,A1_raw,0.8520749999999999,0.012461026743410873
ToxicChat,AdvBench,Qwen3-Embedding-8B,B1_raw,0.962245,0.014108977638369097
ToxicChat,AdvBench,Qwen3-Embedding-8B,B1b_SigmaT,0.9902050000000001,0.008971054146531545
ToxicChat,AdvBench,Qwen3-Embedding-8B,B1w_SigmaW,0.993835,0.005717560668676842
ToxicChat,AdvBench,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,8.529177364380304e-13,9.868800805328566e-13
ToxicChat,AdvBench,all-mpnet-base-v2,A1_raw,0.85686,0.021659752422407797
ToxicChat,AdvBench,all-mpnet-base-v2,B1_raw,0.9157,0.014033765086390754
ToxicChat,AdvBench,all-mpnet-base-v2,B1b_SigmaT,0.9667199999999999,0.01884308062658548
ToxicChat,AdvBench,all-mpnet-base-v2,B1w_SigmaW,0.9730650000000001,0.01613383091519186
ToxicChat,AdvBench,all-mpnet-base-v2,DELONG_B1w_vs_A1,2.9267133557270166e-05,6.544322568719573e-05
ToxicChat,AdvBench,bge-base-en-v1.5,A1_raw,0.72117,0.025314733852047543
ToxicChat,AdvBench,bge-base-en-v1.5,B1_raw,0.746275,0.03910183020013259
ToxicChat,AdvBench,bge-base-en-v1.5,B1b_SigmaT,0.93847,0.03223369452141653
ToxicChat,AdvBench,bge-base-en-v1.5,B1w_SigmaW,0.94451,0.028953721695146553
ToxicChat,AdvBench,bge-base-en-v1.5,DELONG_B1w_vs_A1,1.3322676295501878e-16,1.9860273225978183e-16
ToxicChat,AdvBench,bge-large-en-v1.5,A1_raw,0.82729,0.023977688848177147
ToxicChat,AdvBench,bge-large-en-v1.5,B1_raw,0.865865,0.03023422419213035
ToxicChat,AdvBench,bge-large-en-v1.5,B1b_SigmaT,0.956885,0.029034067274496655
ToxicChat,AdvBench,bge-large-en-v1.5,B1w_SigmaW,0.9665050000000001,0.02279944078261567
ToxicChat,AdvBench,bge-large-en-v1.5,DELONG_B1w_vs_A1,6.523693390877766e-05,0.00014587420998018785
ToxicChat,HarmBench,Qwen3-Embedding-8B,A1_raw,0.6603,0.01690234820964236
ToxicChat,HarmBench,Qwen3-Embedding-8B,B1_raw,0.8805349999999998,0.012345338188968288
ToxicChat,HarmBench,Qwen3-Embedding-8B,B1b_SigmaT,0.8998900000000001,0.029691458157187135
ToxicChat,HarmBench,Qwen3-Embedding-8B,B1w_SigmaW,0.9075899999999999,0.02585055971347619
ToxicChat,HarmBench,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,2.1277646311546047e-12,4.757826355381463e-12
ToxicChat,HarmBench,all-mpnet-base-v2,A1_raw,0.761565,0.00945604304135717
ToxicChat,HarmBench,all-mpnet-base-v2,B1_raw,0.85775,0.009480390946580267
ToxicChat,HarmBench,all-mpnet-base-v2,B1b_SigmaT,0.8560800000000001,0.046701801357121125
ToxicChat,HarmBench,all-mpnet-base-v2,B1w_SigmaW,0.8785149999999999,0.03745770364691353
ToxicChat,HarmBench,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.002625662221955709,0.005817075918979067
ToxicChat,HarmBench,bge-base-en-v1.5,A1_raw,0.71048,0.01744142339374856
ToxicChat,HarmBench,bge-base-en-v1.5,B1_raw,0.69699,0.027895421891414363
ToxicChat,HarmBench,bge-base-en-v1.5,B1b_SigmaT,0.8404999999999999,0.05107736778652555
ToxicChat,HarmBench,bge-base-en-v1.5,B1w_SigmaW,0.848295,0.05091616700518606
ToxicChat,HarmBench,bge-base-en-v1.5,DELONG_B1w_vs_A1,0.0004418752408648312,0.0006139748897656873
ToxicChat,HarmBench,bge-large-en-v1.5,A1_raw,0.761555,0.012121422152536398
ToxicChat,HarmBench,bge-large-en-v1.5,B1_raw,0.7691600000000001,0.012037215728730647
ToxicChat,HarmBench,bge-large-en-v1.5,B1b_SigmaT,0.8449349999999999,0.04380609475289934
ToxicChat,HarmBench,bge-large-en-v1.5,B1w_SigmaW,0.85344,0.039016409208178025
ToxicChat,HarmBench,bge-large-en-v1.5,DELONG_B1w_vs_A1,0.011746708389253482,0.020704138040131957
ToxicChat,ToxicChat,Qwen3-Embedding-8B,A1_raw,0.8031413043478259,0.004024106970405002
ToxicChat,ToxicChat,Qwen3-Embedding-8B,B1_raw,0.9678097826086957,0.004223537724715874
ToxicChat,ToxicChat,Qwen3-Embedding-8B,B1b_SigmaT,0.9714021739130436,0.004176153935931646
ToxicChat,ToxicChat,Qwen3-Embedding-8B,B1w_SigmaW,0.9749239130434783,0.002919292858544842
ToxicChat,ToxicChat,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,3.819167204710538e-15,4.953635486491825e-15
ToxicChat,ToxicChat,all-mpnet-base-v2,A1_raw,0.9167119565217391,0.008970375820871434
ToxicChat,ToxicChat,all-mpnet-base-v2,B1_raw,0.9530108695652174,0.005209261101992738
